pairs,sub,sub_a2v
B Nd,0.0004,0.08299536434628425
B Ni,0.0062,0.1252007457472031
B Np,0.0005,0.14708278125016522
B O,0.0019,0.034325576727071844
B Os,0.0027,0.1463037629046187
B P,0.0124,0.05597074209607278
B Pa,0.0007,0.16398183199276017
B Pb,0.0018,0.05793029927111315
B Pd,0.0017,0.03905831391330467
B Pm,0.0002,0.0942994880816027
B Pr,0.0006,0.0724159515971001
B Pt,0.0037,0.05204676775872323
B Pu,0.0007,0.18033039802414177
B Rb,0.0005,0.05993153600013859
Br C,0.0038,0.2538137281648106
Br Ca,0.001,0.10054263680943602
Br Cd,0.001,0.160085044071948
Br Ce,0.0006,0.09308801986693305
Br Cl,0.3114,0.9964331381206667
Br Co,0.0008,0.10925675422579646
Br Cr,0.002,0.13744246059484952
Br Cs,0.0014,0.13971185374033143
Br Cu,0.0029,0.11428297626827887
Br Dy,0.0004,0.11882104285023173
B Re,0.0007,0.27808521374348294
Br Er,0.0002,0.11792821912774533
Br Eu,0.0007,0.18733488951211813
Br F,0.0204,0.955542429524895
Br Fe,0.0012,0.10893509313351965
Br Ga,0.002,0.14764606343363956
Br Gd,0.0008,0.14129230470724954
Br Ge,0.0054,0.10511529045017984
Br H,0.0085,0.8208436196805055
B Rh,0.0023,0.05705579591749455
Br Hf,0.0005,0.15159049672226152
Br Hg,0.008,0.2626813235615846
Br Ho,0.0005,0.12088527903986501
Br I,0.3271,0.9938335196665596
Br In,0.0016,0.13990888146317695
